history_of_religion	theology
literature_in_english,_north_america	science
logic_and_foundations	science
nutrition	instrumentation
comparative_politics	genetics
mass_communication	humanities
international_relations	humanities
operational_research	mathematics
ordinary_differential_equations	mathematics
multidisciplinary_design_optimization	mathematics
contemporary_art_history	history
physical_science	religion
behavioral_ecology	religion
astrodynamics	music
human_geography	geography
population_biology	neuroscience
race_and_ethnicity	analysis
information_systems	analysis
sociology_of_culture	analysis
energy_systems	analysis
Elements Taxonomy:345.0465.0
Correct: 150
Precision: 0.43478260869565216
Recall: 0.3225806451612903
F1: 0.37037037037037035
