nutrition	instrumentation
operational-research	mathematics
digital-circuits	electrical-engineering
circuits	electrical-engineering
race-and-ethnicity	analysis
physical-science	religion
behavioral-ecology	religion
motor-control	communication
transport-phenomena	physical-chemistry
astrodynamics	music
ethnomusicology	music
playwriting	music
literature-in-english,-north-america	science
applied-mechanics	science
logic-and-foundations	science
cultural-history	public-health
tribology	applied-mechanics
Elements Taxonomy:348.0465.0
Correct: 150
Precision: 0.43103448275862066
Recall: 0.3225806451612903
F1: 0.3690036900369003
