mass-communication	humanities
plant-breeding	plant-science
race-and-ethnicity	analysis
information-systems	analysis
energy-systems	analysis
digital-circuits	electrical-engineering
circuits	electrical-engineering
thermodynamics	chemical-engineering
literature-in-english,-north-america	science
applied-mechanics	science
logic-and-foundations	science
classical-archaeology-and-art-history	classics
classical-literature-and-philology	classics
comparative-literature	classics
ancient-history	classics
ancient-philosophy	classics
transport-phenomena	physical-chemistry
physical-science	religion
behavioral-ecology	religion
population-biology	neuroscience
motor-control	communication
air-traffic-control	communication
public-affairs	communication
public-policy	communication
cultural-history	public-health
fluid-mechanics	physics
history-of-religion	theology
operational-research	mathematics
ordinary-differential-equations	mathematics
multidisciplinary-design-optimization	mathematics
partial-differential-equations	mathematics
statistics-and-probability	mathematics
tribology	applied-mechanics
nutrition	instrumentation
meteorology	oceanography
artificial-intelligence	computer-science
astrodynamics	music
ethnomusicology	music
playwriting	music
public-health	public-affairs
comparative-politics	genetics
Elements Taxonomy:324.0465.0
Correct: 143
Precision: 0.44135802469135804
Recall: 0.30752688172043013
F1: 0.36248415716096327
