cancer-biology	molecular-biology
transport-phenomena	physical-chemistry
plant-pathology	horticulture
entomology	horticulture
artificial-intelligence	computer-science
software-engineering	computer-science
computational-biology	computer-science
programming-languages	computer-science
networking	computer-science
algorithms	computer-science
semantics	computer-science
nutritional-epidemiology	epidemiology
biostatistics	epidemiology
international-economics	economics
public-economics	economics
behavioral-economics	economics
labor-economics	economics
macroeconomics	economics
immunology-of-infectious-disease	immunology
social-psychology-and-interaction	social-psychology
digital-circuits	circuits
philosophy-of-mind	metaphysics
epistemology	metaphysics
environmental-microbiology	microbiology
tribology	applied-mechanics
developmental-biology	cell-biology
biochemistry	cell-biology
psychology-of-movement	psychology
community-psychology	psychology
biological-psychology	psychology
developmental-psychology	psychology
clinical-psychology	psychology
health-psychology	psychology
social-psychology	psychology
cognitive-psychology	psychology
nutrition	instrumentation
human-geography	geography
fluid-mechanics	physics
condensed-matter-physics	physics
astrophysics-and-astronomy	physics
engineering-physics	physics
mineral-physics	physics
nuclear-physics	physics
quantum-physics	physics
optics	physics
cosmology	physics
metaphysics	physics
geophysics	physics
biophysics	physics
literature-in-english,-north-america,-ethnic-and-minority	literature-in-english,-north-america
physical-science	religion
behavioral-ecology	religion
philosophy-of-religion	religion
philosophy-of-science	religion
ethics	religion
metaphysics	religion
theatre-history	theatre
public-health	public-affairs
classical-archaeology-and-art-history	classics
classical-literature-and-philology	classics
comparative-literature	classics
ancient-history	classics
ancient-philosophy	classics
environmental-microbiology	microbial-ecology
applied-linguistics	linguistics
french-linguistics	linguistics
spanish-linguistics	linguistics
german-linguistics	linguistics
discourse-linguistics	linguistics
anthropological-linguistics	linguistics
computational-linguistics	linguistics
continental-philosophy	philosophy
food-processing	manufacturing
pragmatics	computational-linguistics
computer-architecture	computer-engineering
compilers	computer-engineering
history-of-philosophy	intellectual-history
comparative-politics	genetics
plant-genetics	genetics
molecular-genetics	genetics
molecular-biology	genetics
botany	genetics
astrodynamics	music
ethnomusicology	music
playwriting	music
population-biology	neuroscience
cellular-neuroscience	neuroscience
computational-neuroscience	neuroscience
systems-neuroscience	neuroscience
developmental-neuroscience	neuroscience
molecular-neuroscience	neuroscience
cognitive-neuroscience	neuroscience
epidemiology	neuroscience
cultural-history	public-health
environmental-health	public-health
public-administration	public-policy
operational-research	mathematics
ordinary-differential-equations	mathematics
multidisciplinary-design-optimization	mathematics
partial-differential-equations	mathematics
statistics-and-probability	mathematics
scientific-computing	mathematics
non-linear-dynamics	mathematics
dynamical-systems	mathematics
applied-mathematics	mathematics
geometry-and-topology	mathematics
fluid-dynamics	mathematics
numerical-analysis	mathematics
computer-science	mathematics
control-theory	mathematics
number-theory	mathematics
quantum-physics	mathematics
set-theory	mathematics
algebraic-geometry	mathematics
algebra	mathematics
probability	mathematics
analysis	mathematics
physics	mathematics
chemistry	mathematics
political-science	social-science
anthropology	social-science
economics	social-science
medicinal-pharmaceutical-chemistry	chemistry
physical-chemistry	chemistry
materials-chemistry	chemistry
food-chemistry	chemistry
environmental-chemistry	chemistry
analytical-chemistry	chemistry
organic-chemistry	chemistry
medicinal-chemistry	chemistry
polymer-chemistry	chemistry
inorganic-chemistry	chemistry
composition	chemistry
pharmacology	chemistry
biochemistry	chemistry
cosmochemistry	chemistry
geochemistry	chemistry
biogeochemistry	chemistry
plant-pathology	pathology
immunopathology	pathology
history-of-religion	theology
cosmology,-relativity,-and-gravity	cosmology
evolutionary-physiology	physiology
comparative-physiology	physiology
exercise-physiology	physiology
microbial-physiology	physiology
molecular-physiology	physiology
cellular-physiology	physiology
digital-circuits	electrical-engineering
circuits	electrical-engineering
thermodynamics	chemical-engineering
meteorology	oceanography
mass-communication	humanities
international-relations	humanities
english-language-and-literature	humanities
human-geography	humanities
environmental-sciences	humanities
cultural-anthropology	humanities
history	humanities
classics	humanities
geography	humanities
religion	humanities
musicology	humanities
linguistics	humanities
theology	humanities
philosophy	humanities
sociology	humanities
psychology	humanities
biogeochemistry	geochemistry
electrical-and-electronics	engineering
condensed-matter-physics	engineering
digital-communications	engineering
civil-engineering	engineering
signal-processing	engineering
ocean-engineering	engineering
petroleum-engineering	engineering
electrical-engineering	engineering
geotechnical-engineering	engineering
mechanical-engineering	engineering
aerospace-engineering	engineering
industrial-engineering	engineering
biological-engineering	engineering
biomechanical-engineering	engineering
materials-science	engineering
structural-engineering	engineering
computer-engineering	engineering
chemical-engineering	engineering
engineering-physics	engineering
software-engineering	engineering
social-science	engineering
environmental-engineering	engineering
aquatic-ecology	engineering
systems-engineering	engineering
nuclear-physics	engineering
cognitive-psychology	engineering
oceanography	engineering
robotics	engineering
aerodynamics	engineering
manufacturing	engineering
biomaterials	engineering
ecology	engineering
ergonomics	engineering
biomedical	engineering
kinesiology	engineering
communication	engineering
instrumentation	engineering
food-science	nutrition
international-nutrition	nutrition
community-nutrition	nutrition
comparative-nutrition	nutrition
human-nutrition	nutrition
biochemical-nutrition	nutrition
clinical-nutrition	nutrition
molecular-nutrition	nutrition
genetic-nutrition	nutrition
history-of-religions-of-western-origin	history-of-religion
history-of-religions-of-eastern-origins	history-of-religion
plant-breeding	plant-science
horticulture	plant-science
genomics	plant-science
social-anthropology	anthropology
cultural-anthropology	anthropology
linguistic-anthropology	anthropology
logic-and-foundations-of-mathematics	logic-and-foundations
organic-chemistry	biochemistry
structural-biology	biochemistry
biophysics	biochemistry
genetics	biochemistry
immunology	biochemistry
islamic-world/near-east-history	history
history-of-science,-technology,-and-medicine	history
contemporary-art-history	history
history-of-religions-of-western-origin	history
history-of-religions-of-eastern-origins	history
latin-american-history	history
theatre-history	history
united-states-history	history
diplomatic-history	history
military-history	history
women’s-history	history
intellectual-history	history
political-history	history
history-of-religion	history
history-of-philosophy	history
gender-history	history
african-history	history
asian-history	history
european-history	history
medieval-history	history
ancient-history	history
social-history	history
economic-history	history
cultural-history	history
archaeological	history
literature-in-english,-north-america	science
applied-mechanics	science
logic-and-foundations	science
poultry-science	science
electromagnetics	science
geographic-information-sciences	science
political-science	science
animal-science	science
earth-science	science
wood-science	science
dairy-science	science
atmospheric-sciences	science
materials-science	science
food-science	science
membrane-science	science
physical-science	science
plant-science	science
soil-science	science
life-science	science
forest-sciences	science
cellular-neuroscience	science
behavioral-economics	science
computational-neuroscience	science
developmental-neuroscience	science
systems-neuroscience	science
computer-science	science
molecular-neuroscience	science
crop-sciences	science
environmental-sciences	science
social-science	science
engineering-science	science
cognitive-neuroscience	science
cell-biology	science
metallurgy	science
methodologies	science
engineering	science
humanities	science
geology	science
geophysics	science
zoology	science
mathematics	science
neuroscience	science
microbiology	science
physiology	science
human-nutrition	environmental-sciences
atmospheric-sciences	environmental-sciences
paleobiology	environmental-sciences
social-history	sociology
sociology-of-culture	sociology
regional-sociology	sociology
rural-sociology	sociology
social-anthropology	sociology
criminology	sociology
statistical-methodology	methodologies
ethnomusicology	musicology
terrestrial-ecology	ecology
evolutionary-ecology	ecology
behavioral-ecology	ecology
aquatic-ecology	ecology
microbial-ecology	ecology
climate	ecology
ethics-and-political-philosophy	ethics
motor-control	communication
air-traffic-control	communication
public-affairs	communication
public-policy	communication
interpersonal/small-group-communication	communication
communication-technology-and-new-media	communication
health-communication	communication
american-politics	political-science
political-theory	political-science
race-and-ethnicity	analysis
information-systems	analysis
energy-systems	analysis
numerical-analysis	analysis
sociology-of-culture	analysis
phonetics	analysis
toxicology	analysis
pathology	analysis
virology	analysis
paleontology	zoology
parasitology	zoology
endocrinology	zoology
Elements Taxonomy:28.0465.0
Correct: 14
Precision: 0.5
Recall: 0.030107526881720432
F1: 0.056795131845841784
