cultural_history	public_health
nutrition	instrumentation
epidemiology	neuroscience
molecular_neuroscience	neuroscience
cellular_neuroscience	neuroscience
systems_neuroscience	neuroscience
developmental_neuroscience	neuroscience
thermodynamics	chemical_engineering
biomechanics	mechanical_engineering
behavioral_ecology	religion
physical_science	religion
ethics	religion
energy_systems	analysis
race_and_ethnicity	analysis
sociology_of_culture	analysis
feminist_philosophy	philosophy
microbial_physiology	physiology
cellular_physiology	physiology
aquatic_ecology	engineering
instrumentation	engineering
mineral_physics	physics
theatre_history	theatre
paleobiology	environmental_sciences
networking	computer_science
compilers	computer_engineering
computer_architecture	computer_engineering
statistical_methodology	methodologies
theatre	communication
music	communication
os	communication
syntax	communication
graphics	communication
air_traffic_control	communication
motor_control	communication
community_nutrition	nutrition
clinical_nutrition	nutrition
rural_sociology	sociology
morphology	linguistics
german_linguistics	linguistics
tribology	applied_mechanics
immunopathology	pathology
plant_pathology	pathology
american_politics	political_science
astrodynamics	music
ethnomusicology	music
playwriting	music
classics	humanities
history	humanities
religion	humanities
geography	humanities
united_states_history	history
theatre_history	history
archaeological	history
asian_history	history
african_history	history
latin_american_history	history
gender_history	history
history_of_philosophy	history
history_of_religion	history
diplomatic_history	history
military_history	history
molecular_neuroscience	science
systems_neuroscience	science
dairy_science	science
developmental_neuroscience	science
wood_science	science
cellular_neuroscience	science
methodologies	science
poultry_science	science
metallurgy	science
electromagnetics	science
geology	science
political_science	science
physiology	science
atmospheric_sciences	science
behavioral_economics	science
engineering	science
composition	chemistry
cosmochemistry	chemistry
biogeochemistry	chemistry
food_chemistry	chemistry
geochemistry	chemistry
botany	genetics
comparative_politics	genetics
plant_genetics	genetics
probability	mathematics
climate	ecology
terrestrial_ecology	ecology
microbial_ecology	ecology
aquatic_ecology	ecology
public_health	public_affairs
digital_circuits	electrical_engineering
circuits	electrical_engineering
comparative_literature	classics
ancient_history	classics
ancient_philosophy	classics
Elements Taxonomy:279.0465.0
Correct: 121
Precision: 0.4336917562724014
Recall: 0.26021505376344084
F1: 0.32526881720430106
