networking	computer_science
behavioral_ecology	religion
physical_science	religion
mineral_physics	physics
paleobiology	environmental_sciences
aquatic_ecology	engineering
instrumentation	engineering
comparative_literature	classics
ancient_history	classics
ancient_philosophy	classics
classics	humanities
history	humanities
religion	humanities
geography	humanities
immunopathology	pathology
plant_pathology	pathology
theatre	communication
music	communication
os	communication
syntax	communication
graphics	communication
air_traffic_control	communication
astrodynamics	music
molecular_neuroscience	science
systems_neuroscience	science
dairy_science	science
developmental_neuroscience	science
wood_science	science
cellular_neuroscience	science
methodologies	science
poultry_science	science
energy_systems	analysis
race_and_ethnicity	analysis
sociology_of_culture	analysis
probability	mathematics
microbial_physiology	physiology
nutrition	instrumentation
cultural_history	public_health
compilers	computer_engineering
Elements Taxonomy:326.0465.0
Correct: 147
Precision: 0.450920245398773
Recall: 0.3161290322580645
F1: 0.37168141592920356
