composition	chemistry
phonetics	analysis
toxicology	analysis
pathology	analysis
virology	analysis
astrodynamics	music
playwriting	music
ethnomusicology	music
climate	ecology
classics	humanities
history	humanities
geography	humanities
religion	humanities
theology	humanities
morphology	linguistics
immunopathology	pathology
nutrition	instrumentation
epidemiology	neuroscience
theatre	communication
music	communication
networks	communication
syntax	communication
graphics	communication
os	communication
methodologies	science
metallurgy	science
engineering	science
geology	science
physiology	science
instrumentation	engineering
manufacturing	engineering
communication	engineering
aerodynamics	engineering
ergonomics	engineering
ecology	engineering
oceanography	engineering
kinesiology	engineering
robotics	engineering
biomaterials	engineering
botany	genetics
metaphysics	physics
ethics	religion
probability	mathematics
analysis	mathematics
archaeological	history
Elements Taxonomy:320.0465.0
Correct: 143
Precision: 0.446875
Recall: 0.30752688172043013
F1: 0.3643312101910829
