metaphysics	physics
manufacturing	engineering
instrumentation	engineering
communication	engineering
aerodynamics	engineering
ergonomics	engineering
ecology	engineering
oceanography	engineering
kinesiology	engineering
methodologies	science
electromagnetics	science
metallurgy	science
engineering	science
geology	science
physiology	science
ethics	religion
phonetics	analysis
toxicology	analysis
pathology	analysis
virology	analysis
morphology	linguistics
probability	mathematics
analysis	mathematics
archaeological	history
botany	genetics
astrodynamics	music
ethnomusicology	music
playwriting	music
climate	ecology
classics	humanities
history	humanities
geography	humanities
religion	humanities
theology	humanities
composition	chemistry
cosmochemistry	chemistry
immunopathology	pathology
theatre	communication
music	communication
networks	communication
syntax	communication
graphics	communication
os	communication
nutrition	instrumentation
epidemiology	neuroscience
Elements Taxonomy:320.0465.0
Correct: 144
Precision: 0.45
Recall: 0.3096774193548387
F1: 0.3668789808917198
