nutrition	instrumentation
morphology	linguistics
circuits	electrical-engineering
archaeological	history
networking	computer-science
semantics	computer-science
algorithms	computer-science
entomology	horticulture
probability	mathematics
analysis	mathematics
composition	chemistry
pharmacology	chemistry
anthropology	social-science
economics	social-science
ergonomics	engineering
communication	engineering
manufacturing	engineering
instrumentation	engineering
oceanography	engineering
aerodynamics	engineering
kinesiology	engineering
ecology	engineering
biomaterials	engineering
signal-processing	engineering
robotics	engineering
biomedical	engineering
social-science	engineering
software-engineering	engineering
international-relations	humanities
mass-communication	humanities
classics	humanities
musicology	humanities
history	humanities
geography	humanities
religion	humanities
linguistics	humanities
theology	humanities
philosophy	humanities
psychology	humanities
sociology	humanities
optics	physics
geophysics	physics
information-systems	analysis
phonetics	analysis
toxicology	analysis
pathology	analysis
virology	analysis
food-processing	manufacturing
meteorology	oceanography
astrodynamics	music
ethnomusicology	music
playwriting	music
epidemiology	neuroscience
genetics	biochemistry
immunology	biochemistry
immunopathology	pathology
biomechanics	mechanical-engineering
climate	ecology
ethics	religion
metaphysics	religion
os	communication
syntax	communication
theatre	communication
graphics	communication
music	communication
networks	communication
public-policy	communication
public-affairs	communication
public-health	public-affairs
methodologies	science
metallurgy	science
electromagnetics	science
physiology	science
neuroscience	science
zoology	science
microbiology	science
humanities	science
geophysics	science
geology	science
botany	genetics
Elements Taxonomy:339.0465.0
Correct: 147
Precision: 0.4336283185840708
Recall: 0.3161290322580645
F1: 0.3656716417910447
