communication	engineering
information-systems	analysis
phonetics	analysis
classics	humanities
archaeological	history
nutrition	instrumentation
networking	computer-science
semantics	computer-science
astrodynamics	music
playwriting	music
os	communication
graphics	communication
syntax	communication
motor-control	communication
music	communication
theatre	communication
analysis	mathematics
Elements Taxonomy:348.0465.0
Correct: 149
Precision: 0.4281609195402299
Recall: 0.3204301075268817
F1: 0.3665436654366544
