composition	chemistry
biomechanics	mechanical-engineering
communication	engineering
ergonomics	engineering
information-systems	analysis
phonetics	analysis
pathology	analysis
toxicology	analysis
virology	analysis
classics	humanities
mass-communication	humanities
international-relations	humanities
history	humanities
geography	humanities
religion	humanities
archaeological	history
nutrition	instrumentation
networking	computer-science
semantics	computer-science
algorithms	computer-science
astrodynamics	music
playwriting	music
botany	genetics
methodologies	science
metallurgy	science
os	communication
graphics	communication
syntax	communication
motor-control	communication
music	communication
theatre	communication
networks	communication
analysis	mathematics
Elements Taxonomy:332.0465.0
Correct: 146
Precision: 0.4397590361445783
Recall: 0.3139784946236559
F1: 0.3663739021329988
