immunopathology	pathology
entomology	horticulture
composition	chemistry
pharmacology	chemistry
food-processing	manufacturing
food-science	nutrition
biomechanics	mechanical-engineering
optics	physics
geophysics	physics
biophysics	physics
metaphysics	physics
cosmology	physics
climate	ecology
communication	engineering
ergonomics	engineering
aerodynamics	engineering
kinesiology	engineering
ecology	engineering
manufacturing	engineering
instrumentation	engineering
biomaterials	engineering
oceanography	engineering
robotics	engineering
social-science	engineering
biomedical	engineering
signal-processing	engineering
civil-engineering	engineering
mechanical-engineering	engineering
software-engineering	engineering
systems-engineering	engineering
information-systems	analysis
phonetics	analysis
pathology	analysis
toxicology	analysis
virology	analysis
genetics	biochemistry
classics	humanities
mass-communication	humanities
international-relations	humanities
history	humanities
geography	humanities
religion	humanities
philosophy	humanities
theology	humanities
musicology	humanities
linguistics	humanities
psychology	humanities
sociology	humanities
archaeological	history
biochemistry	cell-biology
nutrition	instrumentation
networking	computer-science
semantics	computer-science
algorithms	computer-science
artificial-intelligence	computer-science
public-health	public-affairs
astrodynamics	music
playwriting	music
ethnomusicology	music
botany	genetics
methodologies	science
metallurgy	science
physiology	science
electromagnetics	science
food-science	science
life-science	science
neuroscience	science
microbiology	science
engineering	science
cell-biology	science
zoology	science
geology	science
geophysics	science
earth-science	science
mathematics	science
humanities	science
computer-science	science
morphology	linguistics
os	communication
graphics	communication
syntax	communication
motor-control	communication
music	communication
theatre	communication
networks	communication
mass-communication	communication
air-traffic-control	communication
public-policy	communication
public-affairs	communication
epidemiology	neuroscience
ethics	religion
metaphysics	religion
physical-science	religion
analysis	mathematics
probability	mathematics
chemistry	mathematics
computer-science	mathematics
fluid-dynamics	mathematics
Elements Taxonomy:267.0465.0
Correct: 132
Precision: 0.4943820224719101
Recall: 0.2838709677419355
F1: 0.3606557377049181
