climate	ecology
composition	chemistry
pharmacology	chemistry
astrodynamics	music
ethnomusicology	music
playwriting	music
information-systems	analysis
phonetics	analysis
toxicology	analysis
pathology	analysis
virology	analysis
os	communication
syntax	communication
theatre	communication
graphics	communication
music	communication
networks	communication
public-policy	communication
public-affairs	communication
public-health	public-affairs
anthropology	social-science
economics	social-science
networking	computer-science
semantics	computer-science
algorithms	computer-science
international-relations	humanities
mass-communication	humanities
classics	humanities
musicology	humanities
history	humanities
geography	humanities
religion	humanities
linguistics	humanities
theology	humanities
philosophy	humanities
psychology	humanities
sociology	humanities
probability	mathematics
analysis	mathematics
archaeological	history
circuits	electrical-engineering
meteorology	oceanography
optics	physics
geophysics	physics
botany	genetics
nutrition	instrumentation
morphology	linguistics
food-processing	manufacturing
biomechanics	mechanical-engineering
entomology	horticulture
immunopathology	pathology
epidemiology	neuroscience
ethics	religion
metaphysics	religion
genetics	biochemistry
immunology	biochemistry
ergonomics	engineering
communication	engineering
manufacturing	engineering
instrumentation	engineering
oceanography	engineering
aerodynamics	engineering
kinesiology	engineering
ecology	engineering
biomaterials	engineering
signal-processing	engineering
robotics	engineering
biomedical	engineering
social-science	engineering
software-engineering	engineering
methodologies	science
metallurgy	science
electromagnetics	science
physiology	science
neuroscience	science
zoology	science
microbiology	science
humanities	science
geophysics	science
geology	science
Elements Taxonomy:285.0465.0
Correct: 137
Precision: 0.4807017543859649
Recall: 0.2946236559139785
F1: 0.36533333333333334
