id	source	target
0	behavioral ecology	religion
1	behavioral ecology	ecology
2	behavioral ecology	communication
3	international relations	humanities
4	social science	science
5	social science	engineering
6	social science	chemistry
7	social science	physics
8	biostatistics	epidemiology
9	geotechnical engineering	engineering
10	geotechnical engineering	geography
11	rural sociology	sociology
12	plant pathology	horticulture
13	plant pathology	plant science
14	wood science	science
15	syntax	communication
16	syntax	computational linguistics
17	syntax	analysis
18	french linguistics	linguistics
19	inorganic chemistry	organic chemistry
20	inorganic chemistry	chemistry
21	comparative nutrition	nutrition
22	philosophy of science	religion
23	philosophy of science	philosophy
24	morphology	botany
25	morphology	soil science
26	morphology	paleontology
27	morphology	paleobiology
28	morphology	communication
29	morphology	geology
30	morphology	analysis
31	morphology	syntax
32	morphology	parasitology
33	morphology	linguistics
34	morphology	science
35	morphology	composition
36	morphology	applied linguistics
37	morphology	history
38	physical science	science
39	physical science	religion
40	behavioral economics	science
41	behavioral economics	economics
42	behavioral economics	psychology
43	behavioral economics	economic theory
44	networks	information systems
45	networks	methodologies
46	networks	communication
47	networks	engineering
48	networks	computer science
49	networks	networking
50	networks	mathematics
51	networks	geography
52	geography	religion
53	geography	engineering
54	geography	humanities
55	united states history	history
56	linguistics	botany
57	linguistics	humanities
58	linguistics	communication
59	linguistics	social history
60	linguistics	mathematics
61	linguistics	philosophy of science
62	linguistics	geography
63	sociolinguistics	linguistics
64	asian history	history
65	materials science	chemistry
66	materials science	science
67	materials science	physical processes
68	materials science	food science
69	materials science	engineering
70	materials science	environmental sciences
71	materials science	chemical engineering
72	materials science	manufacturing
73	cognitive neuroscience	science
74	cognitive neuroscience	neuroscience
75	cognitive neuroscience	psychology
76	cognitive neuroscience	computer science
77	public affairs	communication
78	parasitology	zoology
79	control theory	mathematics
80	control theory	engineering
81	control theory	analysis
82	thermodynamics	engineering
83	thermodynamics	chemical engineering
84	thermodynamics	polymer chemistry
85	theatre history	theatre
86	theatre history	history
87	quantum physics	mathematics
88	quantum physics	physics
89	biomedical	engineering
90	biomedical	analysis
91	clinical psychology	psychology
92	health psychology	psychology
93	community nutrition	nutrition
94	health communication	communication
95	pathogenic microbiology	microbiology
96	cultural history	public health
97	cultural history	american studies
98	cultural history	history
99	engineering science	science
100	english language and literature	humanities
101	nuclear physics	engineering
102	nuclear physics	physics
103	cosmochemistry	chemistry
104	signal processing	communication
105	signal processing	engineering
106	signal processing	computer science
107	signal processing	dynamic systems
108	signal processing	electrical engineering
109	signal processing	mathematics
110	pharmacology	biochemistry
111	pharmacology	medicinal chemistry
112	pharmacology	engineering
113	pharmacology	chemistry
114	pharmacology	analysis
115	paleontology	zoology
116	diplomatic history	european history
117	diplomatic history	history
118	neurolinguistics	linguistics
119	public health	ecology
120	public health	humanities
121	public health	public affairs
122	public health	engineering
123	public health	toxicology
124	entomology	horticulture
125	entomology	zoology
126	entomology	ecology
127	structural engineering	engineering
128	human geography	geography
129	human geography	humanities
130	pathology	linguistics
131	pathology	genetics
132	pathology	psychology
133	pathology	probability
134	pathology	communication
135	pathology	physical processes
136	pathology	analysis
137	pathology	religion
138	pathology	engineering
139	pathology	plant pathology
140	pathology	neuroscience
141	pathology	composition
142	pathology	criminology
143	ethics and political philosophy	ethics
144	social psychology	sociology
145	social psychology	psychology
146	social psychology	social science
147	immunology	humanities
148	immunology	biochemistry
149	immunology	parasitology
150	immunology	immunopathology
151	immunology	engineering
152	immunology	neuroscience
153	philosophy of language	epistemology
154	philosophy of language	philosophy
155	philosophy of language	computer science
156	food processing	manufacturing
157	german linguistics	linguistics
158	anthropological linguistics	linguistics
159	pragmatics	communication
160	pragmatics	computational linguistics
161	philosophy of religion	history of philosophy
162	philosophy of religion	philosophy
163	philosophy of religion	philosophy of mind
164	philosophy of religion	theology
165	philosophy of religion	religion
166	philosophy of religion	metaphysics
167	atmospheric sciences	science
168	atmospheric sciences	environmental sciences
169	microbial physiology	physiology
170	metallurgy	materials science
171	metallurgy	science
172	metallurgy	engineering
173	metallurgy	physical science
174	metallurgy	chemistry
175	metallurgy	physics
