0	aquatic ecology	engineering
1	biomaterials	engineering
2	biomedical	engineering
3	chemical engineering	engineering
4	civil engineering	engineering
5	cognitive psychology	engineering
6	condensed matter physics	engineering
7	electrical and electronics	engineering
8	electrical engineering	engineering
9	ergonomics	engineering
10	industrial engineering	engineering
11	manufacturing	engineering
12	materials science	engineering
13	mechanical engineering	engineering
14	nuclear physics	engineering
15	polymer science	engineering
16	robotics	engineering
17	signal processing	engineering
18	social science	engineering
19	aerospace engineering	engineering
20	biological engineering	engineering
21	environmental engineering	engineering
22	geotechnical engineering	engineering
23	ocean engineering	engineering
24	petroleum engineering	engineering
25	structural engineering	engineering
26	systems engineering	engineering
27	african history	history
28	ancient history	history
29	archaeological	history
30	asian history	history
31	contemporary art history	history
32	cultural history	history
33	diplomatic history	history
34	economic history	history
35	european history	history
36	gender history	history
37	history of philosophy	history
38	history of religion	history
39	history of religions of eastern origins	history
40	history of religions of western origin	history
41	history of science, technology, and medicine	history
42	intellectual history	history
43	islamic world/near east history	history
44	latin american history	history
45	medieval history	history
46	military history	history
47	political history	history
48	social history	history
49	theatre history	history
50	united states history	history
51	women’s history	history
52	air traffic control	communication
53	digital communications	communication
54	graphics	communication
55	motor control	communication
56	music	communication
57	os	communication
58	public affairs	communication
59	public policy	communication
60	theatre	communication
61	instrumentation	communication
62	communication	communication
63	communication technology and new media	communication
64	health communication	communication
65	interpersonal/small group communication	communication
66	organizational communication	communication
67	algebra	mathematics
68	algebraic geometry	mathematics
69	analysis	mathematics
70	applied mathematics	mathematics
71	chemistry	mathematics
72	computer science	mathematics
73	control theory	mathematics
74	dynamical systems	mathematics
75	fluid dynamics	mathematics
76	geometry and topology	mathematics
77	multidisciplinary design optimization	mathematics
78	non-linear dynamics	mathematics
79	number theory	mathematics
80	numerical analysis	mathematics
81	operational research	mathematics
82	ordinary differential equations	mathematics
83	partial differential equations	mathematics
84	physics	mathematics
85	probability	mathematics
86	quantum physics	mathematics
87	scientific computing	mathematics
